Año de presentación;Expediente No. (Sigla completa del sistema de la Corte);Carátula;Fecha de la Resolución;Cita de Fallos;Tipo de Actor 1;Actor 2 (si hubiera más de un tipo);Actor 3 (si hubiera más de dos tipos);Vecinos de otra provincia;La Corte utiliza la causal de vecindad;Tipo de Demandado 1;Tipo de Demandado 2 (si hubiera más de un tipo);Tipo de Demandado 3 (si hubiera más de dos tipo);Tipo de demandado 4;Cantidad de Provincias que  originalmente integran la litis;Citación de terceros ;Cantidad de provincias citadas como tercero por el tribunal;Tema;Recurso involucrado (nombrar el recurso);Posterga;Decision de la Corte;Argumento para sostener o rechazar la competencia originaria;Involucra recurso interjurisdiccional (según la Corte);Prueba del daño interjurisdiccional;Prueba presentada;Dicta cautelar;Convoca a Audiencia Pública;Conformación de Mayoría (solo respecto de la competencia);de quién es la disidencia/voto?;disidencia sobre total;Cantidad de jueces que votan (en cualquier sentido);Quienes no votan;Presidencia;Composición;Jurisprudencia citada por la Corte sobre interjurisdiccionalidad;Procurador;Involucra un recurso interjurisdiccional para el Procurador;Remisión al procurador (total o parcialmente);Secretaría de tramitación (al momento de determinar la competencia);Comentarios
2009;A. 392. XLV. ORI;ASOCIACION MULTISECTORIAL DEL SUR EN DEFENSA DEL DESARROLLO SUSTENTABLE c/ ESTADO NACIONAL s/AMPARO AMBIENTAL;20/4/2010;No tiene;ONG;NA;NA;No;No;Estado Nacional;NA;NA;NA;NA;No;0;Glaciares;-;0;Rechaza;No hay provincia. Estado nacional es el único obligado;No dice;No;NA;No;No;Unanimidad;NA;NA;5;Argibay y Zaffaroni;RL;RL1;NA;incompetencia;No dice;No;ORI;La actora solicita que se declare la inconstitucionalidad por la omisión que le atribuye al Estado Nacional en la sanción y promulgación de las normas que establezcan los presupuestos mínimos de protección de los glaciares y del ambiente periglacial, con el objeto de preservarlos.
2006;"A. 1874. XLII. ORI
";ADMINISTRACION DE PARQUES NACIONALES c/ NEUQUEN, PROVINCIA DEL s/ACCION DECLARATIVA DE INCONSTITUCIONALIDAD;20/4/2010;"333:487
";Ente nacional/internacional;NA;NA;NA;NA;Estado Provincial;NA;NA;NA;1;No;0;Parques Nacionales;Parque Nacional;0;Acepta;Fuero federal por la persona y provincia.;NA;NA;NA;No;No;Unanimidad;NA;NA;7;NA;RL;RL1;NA;competencia;NA;No;ORI;"PGN acepta competencia originaria por el hecho de que una entidad nacional demanda a una provincia. Sostiene que la doctrina de Fallos: 308:2054; 314:830; 315:158 y 1232; 322:1043, 2038 y 2263; 323: 470, 1110 Y 1206; 324:2042 y 2859, 326:4378 entre muchos otros"
2009;A. 405. XLV. ORI;ASOCIACION CIVIL DIALOGO POR EL AMBIENTE c/ PODER EJECUTIVO NACIONAL s/AMPARO AMBIENTAL;20/4/2010;333:479;ONG;NA;NA;No dice;No;Estado Nacional;Estado Provincial;NA;NA;6;NO;0;Glaciares;Glaciares argentinos;0;Rechaza;No hay provincia.. Estado nacional es el único obligado;No dice;NA;NA;No;No;Unanimidad;NA;NA;5;Argibay y Zaffaroni;RL;RL1;NA;incompetencia;No dice;No;ORI;"La actora demanda a fin de obtener la declaración de inconstitucionalidad del decreto PEN 1837/08,mediante el cual se vetó íntegramente el proyecto de ley registrado bajo el n°26.418, denominado ""Ley presupuestos mínimos para la protección de los glaciares y del ambiente periglacial"". La CSJN agrega que ""no procedería la
acumulación subjetiva de pretensiones si se alegase alguna omisión legislativa en la que hubieren incurrido dichos Estados locales, toda vez que en tal hipótesis ninguno de ellos sería aforado en forma autónoma a esta instancia, en la medida en que ese planteo se vincularía con el ejercicio del poder de policía en materia ambiental, que Cen principioC está regido sustancialmente por el derecho público local y corresponde a la competencia de las autoridades provinciales (conf. artículos 41 y 121 de la Constitución Nacional y doctrina de Fallos: 318:992 y 329:2316, causa ""Mendoza"", considerando 16)."" (considerando 4). PGN considera los mismos fundamentos y cita los siguientes fallos: Fallos: 312:1227 y 1457; 313:144; 314:5Ó8; 322:1511 y ··2105, entre muchos otros; Fallos: 321:2751; 322:2370; 326:1530 y sentencia in re C.1611. XLIII, Originario ""Central Térmica Sorrento S.A. cl Santa Fe, Provincia de y otros si acción meramente declarativa de certeza"", del 24 de junio de 2008; Fallos: 329:2316, causa ""Mendoza"", cons. 16 y siguientes; Fallos: 318:992; Fallos: 312:640; 318:1361; 322:813; 326:71 y 608. "
2007;"P. 1045. XLIII. ORI
";PAPEL PRENSA S.A. c/ ESTADO NACIONAL(BUENOS AIRES PCIA. CITADA 3°) Y OTRO s/ACCION MERAMENTE DECLARATIVA;10/8/2010;338:1183;Empresa;NA;NA;No;No;Estado Nacional;NA;NA;NA;0;Si;1;Poder de Policía;Residuos peligrosos;0;Acepta;Fuero federal por la persona y la materia y provincia.;No dice;NA;NA;No;No;Voto;Fayt;0.166666667;6;Argibay;RL;RL1;NA;competencia;No dice;Si;ORI;"La actora cita como tercero a la provincia de Buenos Aires con el fundamento de que es quien ejerce el poder de policía ambiental en su jurisdicción territorial y la que le ha otorgado el permiso de vuelco que ostenta la actora. La CSJN sostiene que ""cabe advertir que no resulta aplicable al sub examine lo resuelto en Fallos: 331:793, toda vez que existen razones institucionales que imponen aplicar un principio de interpretaciòn restrictiva respecto de la posibilidad de prorrogar la competencia prevista en el artículo 117 de la Constituciòn Nacional"" (considerando 3). PGN fundamenta la competencia originaria en razón de que la Provincia de Buenos Aires tiene un interés directo en el pleito ya que sus autoridades otorgaron un permiso a la empresa y sus facultades son desconocidas por el Estado nacional. PGN cita los siguientes fallos para fundamentar competencia originaria: Fallos: 313:98 y 551; 317:746; 320:2567; 323:702 y 1110, entre otros; Fallos: 312:1227 y 1457; 313:144; 314:508; 322:1511 y 2105; 310:937; 313:1053; 320:3004; 322:1470. Asimismo, agrega que el juicio reviste contenido federal ya que ""la falta de certeza de la actora tiene su origen en un acto administrativo del Gobierno Nacional cuya validez se discute en autos por considerar que éste se ha arrogado facultades locales en la medida que no se configuran los supuestos de excepción previstos en el art. 1° de la ley nacional 24.051 de residuos peligrosos"". LA competencia federal por la materia es por la discusión de las orbitas de competencia entre el EN y la Provincia segúns señala la procuradora en el punto II del dictamen"
2010;E. 172. XLVI. ORI;ESTADO NACIONAL c/ CORRIENTES, PROVINCIA DE s/amparo;14/9/2010;No tiene;Estado Nacional;NA;NA;NA;NA;Estado Provincial;NA;NA;NA;1;NO;0;Aguas;Arroyo Ayuí;0;Acepta;Fuero federal por la persona y provincia.;NA;NA;NA;No;No;Unanimidad;NA;NA;7;NA;RL;RL1;NA;competencia;No dice;Si;ORI;"El Estado nacional pide elcese en su actitud omisiva y le haga entrega de todos los antecedentes e informes, incluidos los estudios de impacto ambiental, relacionados con el proyecto de construcción de una represa sobre el Arroyo Ayuí. PGN sostiene que ""en atención a la naturaleza de las partes que han de intervenir en el pleito, la causa corresponde a la competencia originaria de la Corte"" y cita doctrina de Fallos: 327:5246 y 332:2589."
2010;K. 5. XLVI. ORI;KRONEBERGER, EDGAR JORGE Y OTROS c/ RIO NEGRO, PROVINCIA DE Y OTROS s/AMPARO AMBIENTAL;12/10/2010;No tiene;Persona Física;NA;NA;Si;No;Estado Provincial;Estado Nacional;NA;NA;1;NO;0;Atmósfera;Atmósfera;0;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No dice;NA;NA;No;No;Unanimidad;NA;NA;5;Argibay y Zaffaroni;RL;RL1;NA;incompetencia;No;Si;ORI;"PGN sostiene que los actores no logran demostrar cuál sería el recurso natural de carácter interjurisdiccional que se encontrada presuntamente afectado y tampoco delimitan los suelos que estarían eventualmente contaminados pues sólo hacen una referencia genérica a' que el problema que exponen lo tienen las tres provincias que mencionan en las que se desarrolla el sistema de ""siembra de nubes"" que denuncian; para ello considera doctrina de Fallos: 327:5246; 332:2589."
2003;"A. 246. XXXIX. ORI
";Argenova S.A. c/ Santa Cruz, provincia de s/acción declarativa;19/6/2003;No tiene;Empresa;NA;NA;No;No;Estado Provincial;NA;NA;NA;1;NO;0;Poder de Policía;Pesca;0;Acepta;Fuero federal por la materia y provincia;No dice;NA;NA;Si;No;Unanimidad;NA;NA;6;Nazareno, Lopez, Vazquez;JN;JN5;NA;competencia;No dice;No;ORI;La remisión al PGN no es expresa, solo se considera que el PGN lo consideró al caso como correspondiente a la competencia originaria. El PGN remite a otros casos sobre la misma legislación de chubut. La materia federal surge por la discusión sobre las competencias del estado provincial vs. el estado nacional
2011;B. 140. XLVII. ORI;"
BARRICK EXPLORACIONES ARGENTINAS S.A. Y OTRO Y OTRO c/ ESTADO NACIONAL s/ACCION DECLARATIVA DE INCONSTITUCIONALIDAD";7/6/2011;334:715;Empresa;Estado Provincial;NA;NA;NA;Estado Nacional;Estado Provincial;NA;NA;1;No;0;Poder de Policía;Glaciares ;0;Acepta;Fuero federal por la persona y provincia.;NA;NA;NA;No;No;Unanimidad;NA;NA;7;NA;RL;RL1;NA;competencia;No dice;No;ORI;"Declaración de inconstitucionalidad de la ley de glaciares. La Procuración sostiene, además del argumento para declarar la competencia origirnaria de la CSJN en razón de las personas, que la naturaleza del pleito es exclusivamente federal. La pretensión versa sobre la preservación de las órbitas de competencia entre los poderes del Gobierno Federal y los
de una provincia en materia medioambiental, de: protección de recursos naturales y de regulación minera, ello hace que se encuentre entre las causas especialmente regidas por la Constitución Nacional, a las que alude el art 2°, inc. 1°, de la ley 48"
2010;C. 622. XLVI. ORI;CHUBUT, PROVINCIA DEL c/ RIO NEGRO, PROVINCIA DE Y OTROS s/PRUEBA ANTICIPADA;18/10/2011;334:1106;Estado Provincial;NA;NA;NA;NA;Estado Provincial;Municipio;Estado Nacional;Empresa;2;No;0;Aguas;Río Quemquemtreu;0;Acepta;Demanda entre provincias;Si;Si;NA;No;No;Unanimidad;NA;NA;5;Zaffaroni y Argibay;RL;RL1;NA;competencia;Si;SI;ORI;También demanda a la empresa provincial de aguas.
2009;A. 262. XLV. ORI;ASOCIACION ARGENTINA DE ABOGADOS AMBIENTALIST AS c/ BUENOS AIRES, PROVINCIA DE Y OTROS s/AMPARO AMBIENTAL;1/11/2011;334:1143;ONG;Persona Física;NA;No dice;No;Estado Nacional;Estado Provincial;NA;NA;3;No;0;Agroquimicos;Multirecurso;0;Rechaza;Estado nacional es el único obligado. Provincia no es parte adversa;No;Insuficiente;NA;No;No;Voto;Voto de Highton y Argibay. Voto de Maqueda y Zaffaroni;0.571428571;7;;RL;RL1;"Fallos: 329:2469 ; Fallos: 330:555; Fallos: 97:177; Fallos183:160; Fallos 271:244; Fallos: 240:210; 249:165; 259:343; 277:365; 291:232 y 292:625; 318:992";incompetencia;No;No;ORI;Monsanto se presenta como tercero. Un vecino de santa fe adhiere a la demanda.
2008;V. 537. XLIV. ORI;VILLARREAL, MARCELA DEL ROSARIO Y OTROS c/ CORDOBA, PROVINCIA DE Y OTRO(ESTADO NACIONAL) s/AMPARO (DAÑO AMBIENTAL);1/11/2011;No tiene;Persona Física;NA;NA;No;No;Estado Nacional;Estado Provincial;Municipio;NA;1;No;0;Agroquimicos;Multirecursos;0;Rechaza;Estado nacional es el único obligado. Provincia no es parte adversa;No;Insuficiente;NA;No;No;Voto;Voto de Highton y Argibay, Voto de Maqueda y Zaffaroni;0.571428571;7;;RL;RL1;"Fallos: 329:2469 ; Fallos: 330:555; Fallos: 97:177; Fallos183:160; Fallos 271:244; Fallos: 240:210; 249:165; 259:343; 277:365; 291:232 y 292:625; 318:992";incompetencia;No;No;ORI;"Remite a fundamentos de la  causa A. 262, L.XLV, Originario ""Asociación Argentina de Abogados Ambientalistas el Buenos Aires, Provincia de y otros si amparo (ambiental)"""
2011;V. 239. XLVII. ORI;VALLES, JUAN CARLOS c/ BUENOS AIRES, PROVINCIA DE s/ORDINARIO;8/11/2011;No tiene;Persona Física;NA;NA;No;No;Estado Nacional;Estado Provincial;Municipio;NA;1;No;0;Residuos;Basural a Cielo Abierto sobre la costa del Río La Matanza;0;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No;NA;NA;No;No;Unanimidad;NA;NA;4;Zaffaroni, Argibay, Lorenzetti;RL;RL1;causa Barreto;incompetencia;No;Si;ORI;
2011;S. 947. XLVII. ORI;Seró, Liliana y otros c/ Misiones, provincia de y otro s/amparo ambiental;8/11/2011;334:1342;Persona Física;NA;NA;Si;No;Estado Nacional;Estado Provincial;NA;NA;1;No;0;EIA;Río Uruguay;0;Rechaza;Estado nacional es el único obligado. Provincia no es parte adversa;No;NA;NA;No;No;Unanimidad;NA;NA;7;;RL;RL1;;incompetencia;No;Si;ORI;El recurso sobre el cual se van a emplazar las obras en cuestión (Río Uruguay) es interjurisdiccional. Sin embargo, en la demanda se le atribuye al Estado Nacional la omision del procedimiento de evaluación ambiental. 
2010;P. 470. XLVI. ORI;PESSINO, IRMA MARIA Y OTROS c/ BUENOS AIRES, PROVINCIA DE Y OTROS s/DAÑOS Y PERJUICIOS;6/12/2011;No tiene;Persona Física;NA;NA;No;No;Estado Nacional;Estado Provincial;Municipio;Empresa;1;No;0;Aguas;Innundaciones en La Plata;0;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No dice;NA;NA;No;No;Disidencia;Disidencia de Argibay y Disidencia de Highton ;0.29;7;;RL;RL1;"Jurisprudencia para rechazar la competencia originaria: causa ""Mendoza"";  causa “Barreto”, Fallos: 329:759;  Fallos: 323:3991";incompetencia;No;Si;ORI;La disidencia considera prematura la declaratoria de incompentencia
2008;A. 750. XLVI. ORI;ASSUPA c/ BRASPETRO Y OTRAS s/DAÑO AMBIENTAL;20/3/2012;No tiene;ONG;NA;NA;NA;NA;Empresa;NA;NA;NA;0;Rechaza;0;Minería e Hidrocarburos;Multirrecurso;0;Rechaza;No hay provincia.;No dice;NA;NA;No;No;Unanimidad;NA;NA;5;Zaffaroni y Argibay;RL;RL1;;incompetencia;No dice;Si;ORI;La Corte considera que el caso fue mal enviado por la Camara de Apelaciones de Salta. No estaban demandadas las provincias.
2009;A. 28. XLV. ORI;ASSUPA c/ ALIANZA PETROLERA ARGENTINA S.A. Y OTROS s/DAÑO AMBIENTAL;20/3/2012;335:277;ONG;NA;NA;NA;NA;Empresa;NA;NA;NA;0;Rechaza;0;Minería e Hidrocarburos;Multirrecurso;0;Rechaza;No hay provincia.;No dice;NA;NA;No;No;Voto;Voto de Maqueda y Highton de Nolasco;0.4;5;Zaffaroni y Argibay;RL;RL1;"Fallos 311:879 y 1822; 312:1227 y 1457; 313:144; 314:405; 315:2316; 317:2531 // 271:145; 280:176; 302:63";incompetencia;No;No;ORI;
2007;A. 556. XLIII. ORI;ASOCIACION DE SUPERFICIARIOS DE LA PATAGONIA (ASSUPA) c/ Y.P.F S.A Y OTROS s/DAÑO AMBIENTAL;20/3/2012;No tiene;ONG;NA;NA;NA;NA;Empresa;NA;NA;NA;0;Rechaza;0;Minería e Hidrocarburos;Area magallanes ;0;Rechaza;No hay provincia.;No dice;NA;NA;No;No;Voto;Voto de Maqueda y Highton de Nolasco;0.4;5;Zaffaroni y Argibay;RL;RL1;NA;competencia;Si;No;ORI;Para la PGN hay recurso interjurisdiccional. Para la CSJN el problema es que las provincias no pueden ser citadas como terceros porque la propia actora reconoce que no tienen responsabildiad en el pleito.
2011;C. 284. XLVII. ORI ;COMUNIDAD DEL PUEBLO DIAGUITA DE ANDALGALA c/ CATAMARCA, PROVINCIA DE Y OTROS s/AMPARO AMBIENTAL;17/4/2012;335:387;Pueblos Originarios;NA;NA;Si;No;Empresa;Estado Provincial;Estado Nacional;NA;4;No;0;Minería e Hidrocarburos;Multirrecurso;0;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No dice;NA;NA;No;No;Disidencia;Disidencia de Lorenzetti;0.17;6;Zaffaroni;RL;RL1;NA;incompetencia;No;Si;ORI;Para Lorenzetti si hay interjurisdiccionalidad
2012;C. 660. XLVIII. ORI;CORRIENTES, PROVINCIA DE c/ ESTADO NACIONAL s/ACCIÓN DECLARATIVA DE INCONSTITUCIONALIDAD  *;11/9/2012;No tiene;Estado Provincial;NA;NA;NA;NA;Estado Nacional;Estado Provincial;NA;NA;1;No;0;Aguas;Arroyo Ayuí Grande;0;Acepta;Fuero federal por la persona y provincia.;No dice;NA;NA;No;No;Unanimidad;NA;NA;5;Fayt y Petracchi;RL;RL1;NA;competencia;No dice;Si;ORI;
2010;C. 1196. XLVI. ORI;COMUNIDAD ABORIGEN SANTUARIO TRES POZOS Y OTROS c/ JUJUY, PROVINCIA DE Y OTROS s/AMPARO;18/12/2012;334:1861;Pueblos Originarios;NA;NA;Si;No;Estado Provincial;Estado Nacional;NA;NA;2;No;0;Consulta previa;Salinas Grandes;1;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No dice;NA;NA;No;SI;Unanimidad;NA;NA;6;Zaffaroni;RL;RL1;Fallos 324:2381;competencia;Si;No;ORI;
2009;C. 66. XLV. ORI;CONFEDERACION INDIGENA NEUQUINA Y OTROS c/ Y.P.F. S.A. s/ORDINARIO;30/4/2013;No tiene;Pueblos Originarios;Persona Física;NA;NA;No;Empresa;Estado Nacional;NA;NA;0;Rechaza;0;Minería e Hidrocarburos;Suelos;0;Rechaza;No hay provincia.;No;No;Ninguna. Aunque la Corte no lo dice, la PGN sí menciona que simplemente con el frame de los hechos que hicieron la actora en el escrito de inicio y en los agravios es claro que no hay interjurisdiccionalidad;No;No;Unanimidad;NA;NA;5;Argibay y Zaffaroni;RL;RL1;;incompetencia;No;No;ORI;Los actores habían planteado su caso ante la justicia ordinaria de Neuquén. Después el caso fue a la justicia federal, que ordenó la acumulación con causa que tramita originariamente ante la Corte (A.1274.XXXIX), como había solicitado el EN
2009;M. 169. XLV. ORI;MINISTERIO PUBLICO FISCAL DE LA NACION c/ RIO NEGRO, PROVINCIA DE Y OTROS s/AMPARO (DAÑO AMBIENTAL);7/5/2013;No tiene;Ministerio Público Fiscal de la Nación;NA;NA;NA;NA;Estado Nacional;Estado Provincial;NA;NA;2;No;0;Quemas;Zonas de Alto Valle, Valle Medio, General Conesa y Río Colorado;0;Rechaza;Derecho local. Ente nacional no es parte sustancial;No;No;NA;No;No;Unanimidad;NA;NA;6;Zaffaroni;RL;RL1;"Fallos: 334:1143; Fallos: 331:1312; Fallos: 32:120; 270:78; 271:145; 280:176; 285:209; 302:63.";competencia;No dice;No;ORI;"No dice si el recurso es interjurisdiccional de manera expresa, pero admite que el problema se plantea en dos provincias (considerando 8). PGN remite a sus fundamentos de ""Municipalidad de Rosario cl Entre Ríos, Provirlcia de y otro si amparo (daño ambiental)"" (aunque, a mí parecer, es confuso porque en este caso no considera que hay competencia originaria)."
2011;S. 759. XLVII. ORI;SCHRÖDER, JUAN Y OTROS c/ BUENOS AIRES, PROVINCIA DE Y OTROS s/DAÑO AMBIENTAL;1/8/2013;336:997;Persona Física;NA;NA;No;No;Estado Provincial;Empresa;Estado Nacional;NA;1;Rechaza;0;Aguas;Estuario de Bahía Blanca;0;Rechaza;Derecho local;No;Insuficiente;NA;No;No;Unanimidad;NA;NA;4;Argibay, Highton de Nolasco y Zaffaroni;RL;RL1;Fallos: 329:2316, considerando 7. Fallos: 324: 1137,;incompetencia;No;No;ORI;
2011;"P. 520. XLVII. ORI
";PANTANO, LILIANA c/ HIDROVIA S.A. s/DAÑOS Y PERJUICIOS;1/8/2013;No tiene;Persona Física;NA;NA;No;No;Empresa;NA;NA;NA;0;No;0;Daño individual;Arroyo Tarariras (afectado por actividad de dragado sobre Río Paraná de las Palmas);0;Rechaza;Sujeto no aforado;No dice;No;NA;No;No;Unanimidad;NA;NA;5;Maqueda y Zaffaroni;RL;RL1;-;incompetencia;No dice;No;ORI;La instancia anterior lo derivó a la CSJN ya que consideraba que había conexidad con el fallo Nordi. Asimismo, la PGN afirma que no corresponde la competencia originaria por el sujeto demandado que es una empresa privada.
2008;U. 11. XLIV. ORI;UNIVERSIDAD NACIONAL DE SALTA c/ SALTA, PROVINCIA DE (SECRETARIA DE MEDIO AM- BIENTE DE LA PROVINCIA DE SALTA) s/ACCION DE AMPARO;6/8/2013;No tiene;Ente nacional/internacional;NA;NA;No;No;Estado Provincial;NA;NA;NA;1;No;0;Bosques;No especifica;0;Acepta;Fuero federal por la persona y provincia.;No dice;No;NA;No;No;Unanimidad;NA;NA;6;Zaffaroni;RL;RL1;-;competencia;No dice;No;ORI;La actora solicita la insconstitucionalidad de permisos de desmonte otorgados por la Secretaría de Medio Ambiente de Salta.
2007;F. 833. XLIII.;FLORES NUÑEZ, ROBERTO RAMON c/ SAN JUAN, PROVINCIA DE Y OTROS s/DAÑO AMBIENTAL;27/8/2013;336:1336;Persona Física;NA;NA;Si;No;Estado Provincial;Empresa;NA;NA;1;Rechaza;0;Minería e Hidrocarburos;Río Gualcamayo-Los Piojos - cuenca interjurisdiccional del río Bermejo-Desaguadero;0;Rechaza;Derecho local;No;No;Estudio de Impacto Ambiental;No;No;Voto;Petracchi;0.2;5;Lorenzetti y Zaffaroni;RL;RL1;-;competencia;Si;No;ORI;"Petracchi en su voto cita Fallos: 318:992, en el sentido de que
deben ser las autoridades administrativas y judiciales del Estado de la Provincia de San Juan las encargadas de valorar si la explotación proyectada compromete aspectos tan propios del derecho provincial como lo es lo concerniente a la afectación del medio ambiente. También cita Fallos:329:2469. PGN menciona que la zona en la que vive el actor estaría alcanzada por los impactos según el Estudio de Impacto Ambiental que acompaña."
2006;F. 600. XLII ORI;FRANCONE, PIERINA Y OTROS c/ ETOSS Y OTROS (BUENOS AIRES CITADA COMO 3°) s/AMPARO (DAÑO AMBIENTAL);17/9/2013;No tiene;Persona Física;NA;NA;No;No;Empresa;Ente nacional/internacional;Estado Provincial;NA;0;Si;1;Daño individual;Suba de la napa freatica;0;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No dice;No;NA;No;No;Unanimidad;NA;NA;4;Argibay, Maqueda y Zaffaroni;RL;RL1;-;competencia;No dice;No;ORI;Citaron como tercero a la Provincia de Buenos Aires. Vuelve a primera instancia para que la Provincia decida si quiere o no la competencia originaria. En el medio,  deviene abstracto el planteo al haber cesado las actividades que provocaban la contaminación. El daño individual no procede ante la Corte y debe demandar en los respesctrivos juzgados por aplicación de mendoza.
2012;G. 1164. XLVIII .;Giménez, Alicia Fany y otros c/ Buenos Aires, Provincia de y otros s/daño ambiental;17/9/2013;336:1454;Persona Física;NA;NA;No;No;Estado Nacional;Estado Provincial;Empresa;Ente nacional/internacional;3;No;0;Transgénicos;La CSJN sostiene que no se especifica cuál es el recurso interjurisdiccional involucrado (considerando 5);0;Rechaza;No hay provincia.;No;No;NA;No;No;Unanimidad;NA;NA;4;Lorenzetti, Maqueda y Zaffaroni;RL;RL1;"Fallos: 331:1312, Fallos: 327:3880 y
329:2316.";incompetencia;No;No;ORI;También se demanda a entes estatales (Consejo Federal de Medio Ambiente (CEFEMA)) y empresas privadas. 
2010;N. 180. XLVI. ORI;NORDI, AMNERIS LELIA c/ BUENOS AIRES, PROVINCIA DE Y OTROS Y OTROS s/DAÑO AMBIENTAL;10/12/2013;No tiene;Persona Física;NA;NA;No;No;Estado Provincial;Empresa;Estado Nacional;NA;1;NO;0;Aguas;Arroyo Tarariras (afectado por actividad de dragado sobre Canal Emilio Mitre y del Río Paraná de las Palmas);0;Acepta;Fuero federal por la persona y provincia.;Si;Si;Informe técnico elaborado por peritos navales.;No;No;Disidencia;Highton de Nolasco y Argibay (en conjunto);0.166666667;6;Petracchi;RL;RL1;Fallos: 330:4234);competencia;No dice;No;ORI;"La CSJN hace referencia a cómo la acción sobre dos recursos de jurisdicción federal afectaron a recurso de jurisdicción provincial: ""en el caso se encuentra acreditado con el grado de convicción suficiente que tal denuncia exige para su valoración, que el método utilizado por Hidrovía S .A. para el dragado del Canal Emilio Mitre y del Río Paraná de las Palmas, ambos de jurisdicción federal, sería la causa de la obstrucción de la desembocadura del Arroyo Tarariras -ubicado en territorio provincial- y de la acumulación de material sedimentario sobre sus márgenes"" (considerando 3). PGN hace referencia a que son recursos limítrofes en el que el impacto ambiental es en el límite entre ambos (III).
La disidencia de Highton y Argibay considera que no corresponde la competencia originaria de la CSJN ya que la Provincia de Buenos Aires no podría ser demandada al no participar en el daño ambiental. "
2010;P. 732. XLVI ORI;PALAZZANI, MIGUEL ANGEL c/ MENDOZA, PROVINCIA DE Y OTRO Y OTRO s/AMPARO AMBIENTAL;4/2/2014;No tiene;Persona Física;NA;NA;Si;No;Estado Provincial;NA;NA;NA;1;Si;1;Aguas;Río Atuel Inferior;0;Acepta;Fuero federal por la materia y provincia;Si;Si;"La Corte señala que ya había reconocido el caracter interjurisdiccional del daño en el precedente ""La Pampa c. Mendoza"". La Corte requirió los informes que surgen de la parte dispositiva de este pronunciamiento. PGN menciona que la actora deduce su pretensión sobre la base del ""Estudio para la determinación del caudal mínimo necesario para el restablecimiento del sistema ecológico fluvial en el curso inferior del Río Atuel (Informe Final)"" realizado por la Facultad de Ciencias Exactas y Naturales de la Universidad Nacional de La Pampa.";No;No;Unanimidad;NA;NA;4;Argibay, Petracchi y Zaffaroni;RL;RL1;Fallos: 310:2478 ;competencia;Si;No;ORI;"La CSJN cita como terceros al Estado Nacional y a la Provincia de La Pampa. PGN sostiene: ""puede afirmarse que la controversia es común, en los términos del arto 94 del Código Procesal Civil y Comercial, a la Provincia de La Pampa, toda vez que es cotitular de dominio del recurso ambiental que se pretende tutelar y respecto del cual ejerce la jurisdicción por su condición de estado ribereño (conf. dictamen de este Ministerio Público in re F. 833, XLIII, Originario ""Flores Nuñez, Roberto Ramón cl San Juan, Provincia de y otros si daño ambiental, del II de agosto de 2009), y también lo es al Estado Nacional, en virtud de la naturaleza federal de dicho recurso natural, tal como lo sostuvo V.E. en las causas ""Mendoza"" y ""Pla"" ,Fallos: 329:2316 y 331: 1243, respectivamente, esto es, para que, en su caso, ambos deban recomponer (art. 31 de la LOA), máxime cuando existieron, como relata el actor, entre la Provincia de Mendoza, la Provincia de La Patitpa y el Estado Nacional varios convenios para solucionar la cuestión ambiental aquí debatida. En tales condiciones, dado el manifiesto carácter federal de tal materia, en tanto se encuentra en juego la protección y preservación de un recurso natural de . carácter interjurísdiccionaly al' ser demandada la Prbvinci.a de Mendoza y citados como terceros la Provincia de La Pampa, junto con' el Estado Nacional, prima Jade y dentro del limitado marco cognoscitivo propio de la cuestión de competencia en análisis, entiendo que ~Cualquie:ra que sea la vecindad o nacionalidad de los actores (Fallos: 317:473; 318:30 y sus citas y 323:1716, entre otros)~, el proceso corresponde a la competencia originaria de la Corte"". Asimismo, cita la siguiente jurisprudencia para fundamentar la interjurisdiccionalidad: Fallos: 327:3880 y 329:2316; doctrina de Fallos: 330:4234;
331:1679 y dictamen de este Ministerio Público in re M. 853.XLIV, Originario, ""Municipalidad de Rosario cl Entre Ríos, Provincia de y otro s/amparo [daño ambiental], del 29 de agosto 2008. La Corte considera probada la interjurisdiccionalidad del recurso en el caso de ""La Pampa c. Mendoza""
Algo interesante es que después la Corte se termina declarando incompetente por la defensa opuesta por la prov. de Mendoza en el fallo dictado el 26/12/2017. "
